,angle,speed
1,0.5285536,1.0
2,0.33628204,1.0
3,0.36827686,0.0
4,0.5087049,1.0
5,0.49275184,0.0
6,0.4602605,0.0
7,0.7033124,1.0
8,0.476439,0.0
9,0.56086326,1.0
10,0.50407535,1.0
11,0.4568021,1.0
12,0.701679,1.0
13,0.76073766,1.0
14,0.5483918,1.0
15,0.7512752,1.0
16,0.5076158,1.0
17,0.75313324,1.0
18,0.78193194,0.0
19,0.5286403,1.0
20,0.61572564,1.0
21,0.6520399,1.0
22,0.6432761,0.0
23,0.85503834,1.0
24,0.7814203,1.0
25,0.5671023,0.0
26,0.56247336,1.0
27,0.59276116,1.0
28,0.6942512,1.0
29,0.7238346,1.0
30,0.54156655,1.0
31,0.77049303,0.0
32,0.5327425,1.0
33,0.47223094,0.0
34,0.7636702,1.0
35,0.8851669,0.0
36,0.7536811,0.0
37,0.48281056,0.0
38,0.7547141,1.0
39,0.7405913,1.0
40,0.4732197,1.0
41,0.51195556,1.0
42,0.4890026,1.0
43,0.6182358,1.0
44,0.57261014,1.0
45,0.4996316,1.0
46,0.72484595,0.0
47,0.6043047,0.0
48,0.4540689,0.0
49,0.8670398,1.0
50,0.51061046,0.0
51,0.77586377,1.0
52,0.5146441,1.0
53,0.8323699,1.0
54,0.6766654,0.0
55,0.5573548,1.0
56,0.6758163,1.0
57,0.49741924,0.0
58,0.5010866,1.0
59,0.81377375,1.0
60,0.7381462,1.0
61,0.5173533,1.0
62,0.6634981,1.0
63,0.7056331,1.0
64,0.54411393,0.0
65,0.51863587,1.0
66,0.83398914,0.0
67,0.485477,1.0
68,0.8195093,0.0
69,0.4798963,0.0
70,0.34384182,1.0
71,0.7570722,1.0
72,0.73774266,0.0
73,0.5192066,1.0
74,0.6206767,0.0
75,0.7591199,0.0
76,0.7825808,0.0
77,0.76958764,1.0
78,0.48312885,1.0
79,0.59470594,1.0
80,0.6944314,0.0
81,0.71752,1.0
82,0.5917716,1.0
83,0.5998629,1.0
84,0.54115903,0.0
85,0.5265846,1.0
86,0.7130644,1.0
87,0.6861228,0.0
88,0.5420691,1.0
89,0.5542858,1.0
90,0.71697,1.0
