,Train,Predicted,Difference
11034,0.625,0.5151587,0.10984128713607788
11035,0.6875,0.7168295,0.02932947874069214
11036,0.625,0.46944514,0.155554860830307
11037,0.5,0.7343272,0.23432719707489014
11038,0.625,0.5487178,0.07628220319747925
11039,0.625,0.62163484,0.003365159034729004
11040,0.5625,0.7173021,0.1548020839691162
11041,0.5,0.4614363,0.038563698530197144
11042,0.8125,0.7609308,0.051569223403930664
11043,0.5625,0.742392,0.17989200353622437
11044,0.6875,0.6419496,0.045550405979156494
11045,0.5,0.734206,0.23420602083206177
11046,0.75,0.75044763,0.0004476308822631836
11047,0.5,0.5273397,0.027339696884155273
11048,0.75,0.76782274,0.017822742462158203
11049,0.5,0.6772653,0.17726528644561768
11050,0.5625,0.4708912,0.09160879254341125
11051,0.75,0.45143515,0.2985648512840271
11052,0.8125,0.5209383,0.29156172275543213
11053,0.625,0.465024,0.15997600555419922
11054,0.5,0.5514385,0.05143851041793823
11055,0.6875,0.66549945,0.022000551223754883
11056,0.5625,0.4727038,0.08979618549346924
11057,0.8125,0.7590363,0.05346369743347168
11058,0.625,0.77227914,0.14727914333343506
11059,0.625,0.7281677,0.10316771268844604
11060,0.625,0.6102846,0.014715373516082764
11061,0.4375,0.51812685,0.08062684535980225
11062,0.75,0.5555326,0.1944674253463745
11063,0.625,0.7428724,0.11787241697311401
11064,0.5625,0.55901164,0.0034883618354797363
11065,0.5,0.5222772,0.02227717638015747
11066,0.5,0.7306642,0.2306641936302185
11067,0.5,0.7604523,0.2604522705078125
11068,0.5625,0.6888343,0.1263343095779419
11069,0.625,0.7310301,0.10603010654449463
11070,0.8125,0.46100983,0.35149016976356506
11071,0.8125,0.51856273,0.2939372658729553
11072,0.8125,0.6969118,0.11558818817138672
11073,0.4375,0.78613937,0.3486393690109253
11074,0.8125,0.75904024,0.053459763526916504
11075,0.625,0.50003445,0.12496554851531982
11076,0.4375,0.66332185,0.225821852684021
11077,0.6875,0.7368208,0.04932081699371338
11078,0.5625,0.5212412,0.041258811950683594
11079,0.75,0.5912939,0.15870612859725952
11080,0.6875,0.5456726,0.14182740449905396
11081,0.5625,0.5959724,0.033472418785095215
11082,0.3125,0.62199306,0.3094930648803711
11083,0.75,0.7684447,0.018444716930389404
11084,0.5,0.5220883,0.022088289260864258
11085,0.4375,0.5209196,0.08341962099075317
11086,0.5,0.47838005,0.021619945764541626
11087,0.5,0.7153886,0.21538859605789185
11088,0.75,0.6847184,0.06528162956237793
11089,0.6875,0.46711507,0.22038492560386658
11090,0.875,0.6277254,0.24727457761764526
11091,0.5625,0.65499324,0.09249323606491089
11092,0.3125,0.7716521,0.45915210247039795
11093,0.8125,0.6546712,0.15782880783081055
11094,0.8125,0.59151155,0.2209884524345398
11095,0.6875,0.7322079,0.04470789432525635
11096,0.625,0.7711869,0.14618688821792603
11097,0.5625,0.66793764,0.10543763637542725
11098,0.4375,0.726137,0.2886369824409485
11099,0.5,0.7318928,0.23189282417297363
11100,0.5625,0.7618804,0.19938039779663086
11101,0.1875,0.57241005,0.38491004705429077
11102,0.5,0.47673374,0.023266255855560303
11103,0.5625,0.6898202,0.12732017040252686
11104,0.625,0.5323594,0.09264057874679565
11105,0.3125,0.7363608,0.4238607883453369
11106,0.8125,0.5836543,0.2288457155227661
11107,0.5,0.67070544,0.17070543766021729
11108,0.8125,0.6107302,0.20176982879638672
11109,0.6875,0.6218805,0.06561952829360962
11110,0.6875,0.80824506,0.12074506282806396
11111,0.5625,0.74172086,0.17922085523605347
11112,0.625,0.55354506,0.07145494222640991
11113,0.5,0.71845424,0.2184542417526245
11114,0.5,0.7484926,0.24849259853363037
11115,0.75,0.47692043,0.2730795741081238
11116,0.625,0.538894,0.08610600233078003
11117,0.6875,0.68335307,0.004146933555603027
11118,0.4375,0.7702277,0.33272767066955566
11119,0.5,0.70729065,0.2072906494140625
11120,0.5625,0.60083795,0.03833794593811035
11121,0.5,0.44450432,0.05549567937850952
11122,0.6875,0.5598124,0.12768757343292236
11123,0.25,0.46702474,0.21702474355697632
11124,0.625,0.45643213,0.16856786608695984
11125,0.4375,0.58566135,0.14816135168075562
11126,0.5625,0.7189967,0.15649670362472534
11127,0.9375,0.7562948,0.18120521306991577
11128,0.625,0.7221825,0.0971825122833252
11129,0.5625,0.48683637,0.07566362619400024
11130,0.5,0.4935242,0.00647580623626709
11131,0.5625,0.5999524,0.03745239973068237
11132,0.125,0.48856625,0.36356624960899353
11133,0.625,0.47608912,0.14891088008880615
11134,0.6875,0.5553502,0.1321498155593872
11135,0.75,0.7592894,0.009289383888244629
11136,0.6875,0.5366649,0.1508350968360901
11137,0.75,0.7698364,0.01983642578125
11138,0.5,0.6545732,0.1545732021331787
11139,0.6875,0.7372433,0.04974329471588135
11140,0.375,0.7669794,0.3919793963432312
11141,0.5,0.7424457,0.242445707321167
11142,0.5,0.504247,0.004247009754180908
11143,0.8125,0.4940937,0.3184063136577606
11144,0.4375,0.730407,0.2929069995880127
11145,0.9375,0.59333885,0.34416115283966064
11146,0.625,0.724212,0.09921199083328247
11147,0.6875,0.7456223,0.05812227725982666
11148,0.5,0.7933475,0.29334747791290283
11149,0.5,0.7086598,0.208659827709198
11150,0.75,0.4731999,0.27680009603500366
11151,0.5625,0.7208785,0.1583784818649292
11152,0.8125,0.717085,0.09541499614715576
11153,0.875,0.48862064,0.3863793611526489
11154,0.5,0.70500255,0.2050025463104248
11155,0.75,0.46393025,0.28606975078582764
11156,0.375,0.74728125,0.3722812533378601
11157,0.4375,0.7612264,0.3237264156341553
11158,0.5,0.47109646,0.028903543949127197
11159,0.4375,0.523246,0.08574599027633667
11160,0.375,0.45374337,0.07874336838722229
11161,0.4375,0.6810193,0.24351930618286133
11162,0.5,0.46766636,0.03233364224433899
11163,0.625,0.74603266,0.12103265523910522
11164,0.75,0.46622363,0.2837763726711273
11165,0.6875,0.70981985,0.02231985330581665
11166,0.6875,0.4751218,0.21237820386886597
11167,0.5,0.73870903,0.23870903253555298
11168,0.5,0.7808866,0.28088659048080444
11169,0.3125,0.5503174,0.2378174066543579
11170,0.8125,0.77483815,0.037661850452423096
11171,0.75,0.7605692,0.010569214820861816
11172,0.75,0.5804284,0.16957157850265503
11173,0.625,0.74060845,0.11560845375061035
11174,0.5625,0.6833587,0.12085872888565063
11175,0.75,0.71106434,0.03893566131591797
11176,0.4375,0.67814875,0.24064874649047852
11177,0.4375,0.7182709,0.2807708978652954
11178,0.625,0.74725753,0.1222575306892395
11179,0.6875,0.48261005,0.2048899531364441
11180,0.6875,0.768787,0.08128702640533447
11181,0.5,0.46891984,0.031080156564712524
11182,0.6875,0.6127879,0.07471209764480591
11183,0.8125,0.6816228,0.13087719678878784
11184,0.3125,0.62846094,0.31596094369888306
11185,0.375,0.49334905,0.11834904551506042
11186,0.6875,0.47946274,0.20803725719451904
11187,0.125,0.47600418,0.3510041832923889
11188,0.5,0.5284606,0.02846062183380127
11189,0.5,0.74310833,0.243108332157135
11190,0.8125,0.65449685,0.15800315141677856
11191,0.5625,0.7453959,0.18289589881896973
11192,0.6875,0.5727055,0.11479449272155762
11193,0.5,0.58976275,0.08976274728775024
11194,0.5,0.50015455,0.0001545548439025879
11195,0.125,0.69683284,0.5718328356742859
11196,0.6875,0.48694283,0.2005571722984314
11197,0.625,0.50011915,0.124880850315094
11198,0.125,0.5670655,0.4420654773712158
11199,0.5,0.7439626,0.2439625859260559
11200,0.4375,0.7477968,0.31029677391052246
11201,0.8125,0.50739586,0.30510413646698
11202,0.5,0.5959437,0.09594368934631348
11203,0.875,0.77074856,0.1042514443397522
11204,0.625,0.5055728,0.11942720413208008
